name,price_eur,display_inch,display_cm,display_resolution,display_ratio,weight_kg,height_mm,width_mm,depth_mm,operating_system,cpu_processor,ram_memory,gpu_integrated,gpu_extra,internal_storage_gb,storage_type,battery_life_h,battery_capacity_wh,psu_watts,audio_system,speakers_count,has_touchscreen,keyboard_backlit,keyboard_numpad,has_webcam,has_bluetooth,bluetooth_version,wifi_standard,product_ean,product_sku,release_year,category
"Apple MacBook Air (13""",1578.74,13,34.5,2560x1664,-,1.24,11.3,304.1,215,macOS Monterey,M2,8,Apple GPU,-,512,SSD,-,52.6,35,-,4,FALSE,TRUE,FALSE,TRUE,TRUE,5,WiFi 6 (802.11ax),1.94E+11,MLY23D/A,2022,Notebooks
"Acer Notebook TravelMate P6 TMP61452 Intel Core i51135G7, schwarz",1148.95,14,35.6,1920x1200,16:10,1.05,16.8,312,226,Windows 11 Pro,i51135G7,16,Intel Iris Xe Graphics,-,512,SSD,20,56,65,-,2,FALSE,TRUE,FALSE,TRUE,TRUE,5,WiFi 6 (802.11ax),4.71E+12,NX.VTNEG.001,-,Notebooks
ThinkPad P14s AMD Gen3 / R76850U / 16GB / 512GB / Win 11 Pro,1605.99,14,35.6,1920x1200,16:10,1.41,17.9,317.7,226.9,Windows 11 Pro,AMD SoC,16,AMD Radeon 680M,-,512,SSD,-,52.5,65,Dolby Audio,2,FALSE,TRUE,FALSE,TRUE,TRUE,5.1,WiFi 6E (802.11ax),1.98E+11,21J50037GE,-,Notebooks
Acer Chromebook CB3154HC6SD Chrome Cel.N4500/8GB/64GB eMMC,437.32,6,39.6,1920x1080,-,1.6,20,366.4,244.2,ChromeOS,N4500,8,Intel® UHD Graphics,-,64,Flash,-,-,45,-,2,FALSE,FALSE,TRUE,FALSE,TRUE,5,WiFi 6 (802.11ax),4.71E+12,NX.KB9EG.004,-,Notebooks
Acer B4B Extensa 215 EX2155550UG i51235U/16GB/512GB SSD W11H,572.93,15.6,39.6,1920x1080,16:09,1.78,19.9,362.9,241.3,Windows 11 Home,i51235U,16,Intel Iris Xe Graphics,-,512,SSD,-,-,-,-,2,FALSE,FALSE,TRUE,TRUE,TRUE,5,WiFi 5 (802.11ac),4.71E+12,NX.EGYEG.006,-,Notebooks
Lenovo Thinkpad P16 G2 I913980HX 64GB 2TB SSD FHD+ W11PHE,3120.14,16,40.6,1920x1200,16:10,2.95,30.2,364,266,Windows 11 Pro,Intel WM790,64,Intel® UHD Graphics,Intel Arc Pro A30M,2,SSD,-,94,170,Dolby Atmos,2,FALSE,TRUE,TRUE,TRUE,TRUE,5.1,WiFi 6E (802.11ax),1.98E+11,21FA000JGE,-,Notebooks
Dell Precision 3580 i71360P FHD 16GB 512GB Nvidia A500 WLAN W11P,1488,15.6,39.6,1920x1080,16:09,1.61,2.08,357.8,233.3,Windows 11 Pro,i71360P,16,Intel Iris Xe Graphics,NVIDIA RTX A500,512,SSD,-,54,130,MaxxAudio,2,FALSE,TRUE,TRUE,TRUE,TRUE,-,WiFi 6E (802.11ax),5.40E+12,JHH2C,-,Notebooks
Fujitsu LIFEBOOK U7413 FHD 14 touch i5 W11P,1648.48,14,35.6,1920x1080,-,1.13,18.9,322,211,Windows 11 Pro,i51335U,16,Intel Iris Xe Graphics,-,512,SSD,12,60,65,-,2,TRUE,TRUE,FALSE,TRUE,TRUE,5.3,WiFi 6E (802.11ax),4.07E+12,VFY:U7413MF5HMDE,-,Notebooks
Lenovo ThinkPad P16v G1 i713700H 1x32/512GB A1000 W11P,2263.64,16,40.6,1920x1200,16:10,2.2,24.7,365,262,Windows 11 Pro,Intel SoC,32,Intel Iris Xe Graphics,NVIDIA RTX A1000,512,SSD,-,90,170,Dolby Audio Premium,2,FALSE,TRUE,TRUE,TRUE,TRUE,5.1,WiFi 6E (802.11ax),1.98E+11,21FC000VGE,-,Notebooks
Lenovo ThinkPad T14 AMD G3 R56650U 16/512GB WUXGA W10P,1679.46,14,35.6,1920x1200,16:10,1.32,17.9,317.7,226.9,Windows 11 Pro,AMD SoC,16,AMD Radeon 660M,-,512,SSD,-,52.5,45,Dolby Audio,2,FALSE,TRUE,FALSE,TRUE,TRUE,5.2,WiFi 6E (802.11ax),1.97E+11,21CF002TGE,-,Notebooks
Lenovo ThinkPad P15v AMD Gen3 / R76850H / 32GB / 512GB / Win 11 Pro,1929.98,15.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,1.98E+11,21EM0043GE,-,Notebooks
Microsoft Surface Laptop 5 i5 16GB 256GB 2256x1504/Touch/platin W11P,1345.99,13.5,34.3,2256x1504,3:02,1.27,14.5,308,223,Windows 11 Pro,i51245U,16,Intel Iris Xe Graphics,-,256,SSD,18,47.4,65,-,-,TRUE,TRUE,FALSE,TRUE,TRUE,5.1,WiFi 6 (802.11ax),1.96E+11,R7B00005,2022,Notebooks
Lenovo ThinkPad P16 G2 i913980Hx 2x16GB/1TB A2000 W11P,3426.05,16,40.6,2560x1600,16:10,2.95,30.2,364,266,Windows 11 Pro,Intel WM790,32,Intel® UHD Graphics,NVIDIA RTX 2000,1,SSD,-,94,170,Dolby Atmos,2,FALSE,TRUE,TRUE,TRUE,TRUE,5.1,WiFi 6E (802.11ax),1.98E+11,21FA000AGE,-,Notebooks
Lenovo ThinkPad P15v AMD Gen3 / R76850H / 16GB / 512GB / Win 11 Pro,1742.99,15.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,1.97E+11,21EM003QGE,-,Notebooks
